name,email,order_date,price,quantity,address
ryan howard,kristin49campbell.biz,,39.44,ten,  
  Tina Smith  ,invalid_email,26/08/2023,82.92 USD,6,"68222 Christina Glen Apt. 129, Port Karenside, SD 72546"
michael king,wlynnlambert.com,2023-10-23,338.61 USD,???,  
Daniel_Singh,invalid_email,,,,  
KEVIN SULLIVAN,arnoldamy@kennedy,,265.83 USD,ten,  
Brianna_Dennis,robinsontony@gmail.com,2023-10-07,$106.19,,UNKNOWN
Denise Harmon,xvaldez@valdez.biz,2025-02-17,251.21!!,ten,  
Bailey_Hall,olsontimothygmail.com,16/06/2024,40.68,7,  
MARCIA JOHNS,robinsoncatherine@yahoo,,288.83!!,5,  
BRIAN HARRIS,catherinethompson@hotmail,06-23-2024,,,"72980 Boyd Land, Lake Alyssabury, NJ 50470"
  Robert Velez  ,eanderson@kent.com,06-22-2024,220.66!!,9,  
Jacob Hill,robertbowers@yahoo,08-01-2023,$169.87,2,
Michelle Martin,morrowthomas@graham,07-01-2024,$121.95,ten,
Richard_Dixon,emilywardsmith.biz,2023-12-15,92.69!!,???,UNKNOWN
Jared Smith,jhuntergordon.com,,38.8!!,,"947 Hart Trail Apt. 577, South Darrenland, SC 29386"
Crystal Stewart,,2023-05-27,158.65!!,1,UNKNOWN
David Montgomery,wilsonchristian@vasquez.com,2025-01-02,,???,"9472 Sanders Terrace Apt. 086, Ayerston, MI 52106"
  Patty Bryant  ,,06-02-2023,164.16!!,ten,"84347 Diaz Parks Suite 365, Melissaview, HI 75396"
  Kenneth Perez  ,linda86@gonzalez-marsh.com,17/03/2024,491.28,ten,"7288 Floyd Hills, Annashire, MO 13473"
amy cervantes,invalid_email,,,,UNKNOWN
Julie Frye,invalid_email,,,,"449 Nelson Mills Suite 987, Jacksontown, VA 31254"
Teresa Haynes,garrettgarcia@zuniga.net,,,,"114 Christopher Loaf Suite 334, Simsberg, GA 04245"
Howard_Herman,iproctoryahoo.com,15/05/2024,158.56!!,3,UNKNOWN
Jacob_Green,invalid_email,08/12/2023,,???,UNKNOWN
JUSTIN FOSTER,oclayton@miller-garrett.net,29/10/2024,$94.23,???,
wayne johnson,joseph70davis.info,08-31-2023,43.2,9,UNKNOWN
Randy_Wright,joanjohnsonyahoo.com,,$81.36,ten,  
CLAUDIA RODRIGUEZ,invalid_email,17/01/2024,$339.8,,  
joshua rodriguez,,10-23-2024,158.19!!,,  
  Erica Mcdonald  ,schmidtshannon@weaver-gibson.net,,253.94!!,ten,
Erica Davidson,millscarl@white.com,,,2,UNKNOWN
MARK WARD,laura09yahoo.com,29/04/2024,,???,"1381 Jessica Place, Lopezhaven, IA 75215"
cassidy curry,invalid_email,06/03/2024,465.58!!,???,UNKNOWN
erica allen,invalid_email,2023-03-16,190.58,6,UNKNOWN
steve wright,christopher69gmail.com,2024-10-06,147.01!!,???,  
Sarah_Mcfarland,torresblake@hotmail.com,2024-05-27,$14.41,???,"06799 Jeffrey Highway, Hernandezmouth, NJ 75400"
Kimberly Baker,iayalagmail.com,23/03/2024,$65.31,???,"9389 John Grove Suite 591, Lake Robertstad, ID 42540"
MATTHEW CARRILLO,invalid_email,2024-08-29,,ten,UNKNOWN
  Christina Mills  ,jdean@hotmail.com,08/09/2024,124.08!!,3,UNKNOWN
STEPHEN HUGHES,,2024-05-01,198.27!!,???,UNKNOWN
Harold Garrett,lisa46@raymond.com,11/07/2023,395.32 USD,4,UNKNOWN
melinda harris,haley82@forbes-daugherty.com,06/08/2024,$275.28,???,
bailey stewart,cannonnicole@ali-turner.com,,$23.31,ten,"20994 Caitlyn Fort, West Christopherfort, NY 79761"
Matthew White,kwells@gmail,,,,"6333 Gregory Mill, Wattsmouth, IA 56541"
andrew moss,phillip99@hotmail,26/04/2024,431.76,,"177 Natalie Gardens, Terrellton, MS 68150"
Tonya Lee,invalid_email,,372.94!!,ten,  
  Steven Huang  ,wrightheather@hotmail,23/11/2024,401.57!!,???,
Krystal_Keller,mistywhite@williams.info,26/10/2023,55.79 USD,,  
Jason_Miller,invalid_email,04-27-2023,346.43 USD,8,UNKNOWN
Laura_Hart,invalid_email,27/12/2023,321.54,???,UNKNOWN
Jason_Clark,rodriguezjessicarice.org,2025-03-10,,8,
JOHN ROBLES,vgutierrezcastro-walsh.com,25/07/2024,,ten,  
John Johnson,dmoore@huang,,,,  
Chelsea Wilson,jennifer46@gmail,04-05-2024,480.46,???,  
Morgan_Mills,kaylagarcia@hotmail.com,22/08/2024,388.61!!,,  
shelby cook,meyerdonna@johnson-blake.com,11-20-2023,427.15!!,???,"8571 Hernandez Harbor Apt. 098, East Amyside, KY 19055"
Regina Andrews,collinspatricia@wallace,2023-06-06,277.25 USD,ten,
Anna Lang,,10-31-2024,$65.07,ten,  
BRIAN MENDOZA,katrina99@romero,24/11/2023,,3,"8769 Allen Gardens, South Patrick, IL 91472"
Rachel Graham,invalid_email,,265.22!!,10,
Ann Montoya,donnachavez@price-lane.com,,,ten,
heather callahan,invalid_email,2023-08-27,,,
martin perry,dhanson@hotmail,02-08-2024,,5,UNKNOWN
kevin nixon,,23/05/2023,66.96 USD,10,
Tyler_Yates,,11-07-2023,,,"79290 Lamb Road Apt. 471, New Chase, KY 33537"
DOUGLAS HODGE,munozrenee@hernandez.com,2024-11-12,,ten,  
Nicole_Wilson,tross@reese-goodwin.net,,,,  
shannon rogers,invalid_email,05/11/2024,229.5,???,  
  Joseph Jennings  ,invalid_email,04-03-2023,$173.4,,UNKNOWN
  Cathy Rodriguez  ,kenneth17hammond-schwartz.com,01/10/2023,259.92,ten,  
MATTHEW RODRIGUEZ,christinarodriguez@yahoo,,127.72,,  
Laura_Robertson,invalid_email,05-08-2024,$481.53,,
cassandra williams,invalid_email,,251.89 USD,8,"73203 Jennifer Ramp Apt. 761, Victormouth, AZ 44971"
  Richard Williams  ,,,$483.51,,"02707 John Run, North Gerald, ME 13253"
CHRISTOPHER GARZA,crawfordlauren@brown.biz,,300.77!!,5,"1982 Copeland Underpass Apt. 092, Bryanview, WV 54916"
  Jacob Martin  ,andersonkyliesalazar.info,17/05/2023,365.12!!,6,  
MICHELLE SALAZAR,,07-08-2024,184.45 USD,???,  
Dominique_Hamilton,vwilliams@gmail,2025-03-03,68.69,,UNKNOWN
Brent_Rojas,evance@richards-brown.biz,07-06-2023,,7,"65273 Cantrell Flats Suite 209, West Derekmouth, MT 22940"
COLLEEN PHILLIPS,belindatranmiller.info,13/01/2025,,ten,
Stephanie Vargas,,01/05/2024,,,  
Michael_Martin,braysteven@gmail,,408.8 USD,6,  
Angela_Gilmore,pamela16@marshall-williams,2023-07-30,300.47 USD,ten,"325 Amber Run, Mclaughlinshire, UT 27999"
Paige_Flores,invalid_email,12-09-2023,,ten,
DONNA FRYE,,2023-10-29,99.44!!,???,
  Mary Buchanan  ,kellisgmail.com,,,8,
Christopher_Erickson,johnwilliamsandrews-alexander.com,06/08/2023,499.07!!,???,UNKNOWN
tanya moore,invalid_email,08/07/2023,275.41 USD,???,
pamela gonzalez,frhodes@foster.net,28/04/2023,116.31 USD,ten,  
William Sawyer,invalid_email,01/10/2024,282.44 USD,5,  
  Tyler Avila  ,ortizrobin@thompson-murray.org,10-22-2024,148.77 USD,,  
Patrick Walker Dds,invalid_email,04-07-2023,,,
MICHAEL HOWARD,,04-18-2024,,ten,"92855 Nelson Square, Codyshire, FL 02191"
DOUGLAS MAXWELL,invalid_email,14/07/2023,360.09,3,
  Brenda Ramos  ,invalid_email,,327.02 USD,,"342 David Common, Vazquezville, AK 63973"
AMANDA RODRIGUEZ,,10-22-2024,269.9,???,
JONATHAN CHANDLER,invalid_email,,97.22 USD,1,UNKNOWN
Mrs._Kayla_Russell,,2024-10-28,464.59 USD,???,  
stephanie lang,,,140.05,ten,  
Diana Reeves,qkellyhotmail.com,2024-01-24,369.63 USD,ten,
Brandy_Garcia,invalid_email,,260.06,7,
sheryl wilson md,invalid_email,21/05/2024,468.23,???,
  Kevin Gray  ,luke09@gmail,23/06/2023,,,UNKNOWN
ana torres,andrewnguyen@yahoo.com,2024-08-07,$235.37,,"0790 Gray Loaf Suite 917, Lake Emilymouth, NY 87976"
Lucas Cox,tylerboone@gmail,12-27-2024,$113.47,ten,  
Robert_Alvarez,laura48@reynolds-fernandez,,352.46!!,ten,
David_Francis,ejenkins@hotmail.com,,266.45 USD,2,"2493 Allen Drive Apt. 034, Washingtonchester, SD 05351"
Dominic_Johnson,,03-27-2024,$288.49,,  
TASHA BOYD,pwilkersonhotmail.com,,,8,  
ashley gardner,,,231.12,???,UNKNOWN
TIMOTHY SHERMAN,invalid_email,18/07/2024,$409.14,10,"41776 Love Wells Apt. 248, West Robertside, MD 59910"
  Pamela Davidson  ,igibbs@morales,2023-11-14,272.88,???,"38296 Hayes Well, West Glenn, MD 37436"
Jason White,invalid_email,07-30-2024,385.64!!,???,  
  Joseph Ayala  ,invalid_email,2023-08-11,,,"USNV Roberts, FPO AA 50580"
scott greene,,,$266.78,1,UNKNOWN
  Gary Young  ,,,$268.31,???,UNKNOWN
sherry anderson,hthomas@yahoo,04-19-2023,469.02,???,"Unit 7456 Box 4494, DPO AP 41527"
christopher doyle,angelalivingstonhotmail.com,2024-11-24,54.94,8,
KRISTINA ELLIS MD,invalid_email,,$121.0,ten,UNKNOWN
william martinez,,07/03/2024,290.85 USD,,
Trevor_James,gregory61gmail.com,,153.75,ten,  
Justin_Henderson,invalid_email,2023-04-16,486.28!!,,  
  Keith Arnold  ,dixonrobertguerrero-carroll.com,17/12/2023,,ten,
Nathaniel Todd,matthew23gmail.com,,,???,
  Michael Vaughn  ,christopher20gmail.com,10/06/2023,105.65,,"37236 Christopher Trail, Hernandezchester, DE 22272"
Nancy_Wallace,csmithhotmail.com,2023-09-20,,10,"50166 Mclaughlin Ranch Suite 076, Palmerfort, VT 08457"
jennifer stewart,,02-27-2024,242.3 USD,5,
toni whitaker,kmarsh@hotmail.com,,,???,
Yvonne_Howard,erica28@gmail,01/12/2024,,,UNKNOWN
Anthony Shah,,,235.67!!,ten,UNKNOWN
Kathleen Harrell,invalid_email,2023-09-22,$283.45,3,UNKNOWN
Stephanie_Crane,,,$151.12,ten,  
Valerie_Barnes,regina04hotmail.com,,277.57 USD,???,  
  Shirley Miller  ,vhardygmail.com,23/04/2024,,ten,"Unit 4318 Box 8485, DPO AP 21476"
Steve_Fernandez,marilyntorres@yahoo.com,2024-04-11,472.87,???,
virginia cunningham,kevin92@gray.net,06-10-2024,,,"1266 Christopher Manors Apt. 737, West Ericafurt, OH 68520"
Shelby_Silva,,,331.35,???,"277 Tammy Passage, Lake Jasonfort, WA 21058"
JACLYN CRANE,,25/04/2024,270.19 USD,???,
ANDREA WILLIAMS,ariel56@yahoo.com,12-23-2024,,,UNKNOWN
Stacy Fitzgerald,invalid_email,2023-08-12,189.66!!,ten,
Kathryn Smith,hilljamie@combs.net,2024-06-29,51.28!!,???,"0562 Johnson Pines, Patrickland, CT 71513"
CHARLES SCOTT,kristopherrussellbrown.com,2023-04-06,252.43!!,6,"1526 Scott Views Apt. 033, South William, MS 15584"
fernando tran,ojohnsonmcintyre.com,,139.19,5,
Elizabeth Russell,kristathomas@galloway.biz,02-20-2025,295.58!!,,
Katrina_Williams,christopher12hawkins.org,,,???,
PAUL CHAVEZ,,30/06/2024,31.58!!,4,UNKNOWN
Caleb_Stanton,,,484.62 USD,,  
  Melanie Fletcher  ,velasquezcolleenwalker.com,20/10/2023,278.75!!,ten,  
KELLY PEREZ,,23/08/2024,400.04,,
  Amanda Griffith  ,samantha87smith-lee.com,,161.76,2,UNKNOWN
  Leslie Sims  ,john73@yahoo,21/12/2024,55.6,???,  
Jessica_Turner,,,56.13,6,UNKNOWN
  Ashley Smith  ,rebeccamartinez@scott.info,07/08/2023,209.84,ten,
  Adam Willis  ,youngloritrevino.com,07-25-2024,138.11 USD,ten,"PSC 1537, Box 7959, APO AP 44496"
jennifer martin,invalid_email,05/09/2023,213.45!!,,UNKNOWN
jeremiah welch,invalid_email,07-29-2023,$231.64,5,  
Elizabeth Allen,,,403.02 USD,,  
Sarah_Phillips,john42schmitt.com,14/11/2024,$163.73,,
  James Morse  ,jeffreyharris@foster.biz,03/02/2025,368.76!!,ten,UNKNOWN
  Jerry Reynolds  ,ystewart@gmail,,,ten,"151 Kirby Passage Apt. 431, North Michaelside, MA 26275"
  Danielle Mcgee  ,janiceboltonhotmail.com,,399.85,???,
Miranda Murray,megan66gonzales.com,01/01/2024,331.04!!,7,  
Richard_Weeks,invalid_email,,269.51!!,9,UNKNOWN
Benjamin_Mccarty,,2024-03-03,$59.14,ten,"56621 Amanda Neck, South Stephanieborough, IL 41101"
Michael_Wells,invalid_email,19/08/2023,483.03!!,2,"1693 Kent Overpass, Fordton, CO 38238"
Tamara Reed,zaustingmail.com,02-01-2024,225.66!!,ten,UNKNOWN
SUSAN JENKINS,invalid_email,2024-04-12,151.24,ten,UNKNOWN
Mr. Joshua Allen,thomasramirez@gmail,,,,  
MICHAEL ROBINSON,invalid_email,,162.86 USD,1,"3310 Johnson Bridge, Loriland, CT 87547"
Christopher Perry,marcus39@villa.biz,06-17-2023,$465.31,ten,
Stephen Jenkins,,,$479.44,ten,
  Lauren Reyes  ,invalid_email,2024-10-24,$370.01,???,  
MASON HODGES,karen35yahoo.com,09-20-2023,142.78,10,
Amy Braun,christopherwatkins@young.biz,09-29-2024,231.49 USD,,  
William_Sanders,invalid_email,2023-03-31,177.22!!,ten,UNKNOWN
Colton_Smith,,2024-10-12,337.69 USD,ten,UNKNOWN
MARILYN HOUSE,timdorseymccoy-rhodes.com,04/10/2023,,???,
Sherri_Martin,invalid_email,,,ten,  
Jason Roberts,gregorylopezgmail.com,08-16-2023,160.72!!,10,UNKNOWN
LORI ONEILL,invalid_email,03-21-2024,101.59!!,???,  
  Jeffrey Wood  ,invalid_email,,246.91,10,
Isaac Williams,fhall@yahoo.com,10/10/2024,116.3 USD,???,  
Bethany_Robles,,2024-03-24,288.49 USD,,"32116 Ethan Islands, Mirandabury, KS 87786"
  Steven Martinez  ,,05-05-2023,494.94,,"686 Jeffrey Crescent Suite 111, Joyborough, DE 75584"
  Samuel Finley  ,bryan83@whitney-flores,24/11/2024,431.79,8,
brittany campbell,,12/09/2024,,ten,
robert gaines,kelleymatthewkennedy.com,2024-04-28,,ten,UNKNOWN
Paul Moss,jessica91@floyd.biz,24/08/2024,,ten,  
KYLE THOMPSON,stricklandmichelle@hotmail,01-06-2024,$352.21,ten,UNKNOWN
zachary park,invalid_email,,75.37 USD,???,  
JUSTIN MCBRIDE,andersonjamie@miller.com,,260.23 USD,???,  
Kelly Patton,,2025-02-20,435.11,,"Unit 5988 Box 3103, DPO AE 25152"
Scott_Lewis,invalid_email,08-01-2024,$484.22,,UNKNOWN
Whitney Terry,anne89@barnes,11-16-2024,285.24!!,6,"314 Amanda Spur, Jonesland, MA 36316"
ROBERT HILL,invalid_email,2023-07-30,$66.5,???,"718 Graves Way Suite 849, North Georgefurt, MI 97664"
  Rachel Arnold  ,qvargasgmail.com,08-30-2024,441.66 USD,,"226 Brown Stream, Jasminebury, PA 55321"
Catherine Andersen,joshua68@hotmail,2025-01-28,$189.06,???,UNKNOWN
brandon johnston,invalid_email,2024-03-22,353.33,???,"0930 Park Summit, Johnhaven, PA 06052"
traci craig,,12-30-2023,262.12!!,1,UNKNOWN
MARK LONG,invalid_email,04-29-2023,$241.46,7,"4510 Zamora Ferry Suite 501, Vasquezland, NY 20648"
THOMAS SMITH,thomasbrooks@yahoo,11/02/2024,$441.09,ten,
TIFFANY MOYER,,2024-09-20,$307.11,,
